type,time,direction
rotation,2.621579885482788,Left
forward,3.00959849357605,NULL
rotation,2.621579885482788,Left
forward,2.5838205814361572,NULL
rotation,2.621579885482788,Left
forward,2.1580445766448975,NULL
rotation,0.771340012550354,Right
forward,1.7322666645050049,NULL
rotation,2.621579885482788,Left
forward,2.5838205814361572,NULL
rotation,0.771340012550354,Right
forward,1.7322666645050049,NULL
rotation,2.621579885482788,Left
forward,2.1580445766448975,NULL
rotation,0.771340012550354,Right
forward,1.7322666645050049,NULL
rotation,2.621579885482788,Left
forward,1.7322666645050049,NULL
rotation,2.621579885482788,Left
forward,3.00959849357605,NULL
